   ,methodName, Error, time
163, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
164, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
165, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
166, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
167, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
168, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
169, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
170, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
171, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
172, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
173, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
174, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
175, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
176, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
177, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
178, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
179, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
180, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
181, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
182, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
183, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
184, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
185, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
186, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
187, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
188, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
189, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:30
